.area United States
Caracas, Venezuela:10 35,-66 56,-4 0
Copenhagen, Denmark:55 43,12 34,1 0
Dhaka, Bangladesh:23 42,90 22,6 0
Dimashq, Syria:33 30,36 19,2 0
Durban, South Africa:-29 53,31 00,2 0
Edmonton, Alberta:53 33,-113 29,-7 0
Frankfurt, Germany:52 20,14 32,1 0
Georgetown, Guyana:6 46,-58 10,-3 30
Glasgow, Scotland:55 53,-4 15,0 0
Gorakhpur, India:26 45,83 23,5 30
Halifax, Canada:44 38,-63 35,-4 0
Heighington, U.K.:54 36,-1 37,0 0
Hong Kong:22 00,114 15,8 0
Hyderabad, India:17 22,78 26,5 30
Islamabad, Pakistan:33 40,73 08,5 0
Jakarta, Indonesia:-6 08,106 45,7 0
Johannesburg, South Africa:-26 10,28 02,2 0
Jubayl, Saudi Arabia:26 59,49 40,3 0
Kabul, Afghanistan:34 31,69 12,4 30
Karachi, Pakistan:24 51,67 02,5 0
Khartoum, Sudan:15 33,32 32,2 0
Kuala Lumpur, Malaysia:3 08,101 42,7 0
Kufah, Iraq:32 02,44 25,3 0
Kuwait City, Kuwait:29 20,48 00,3 0
Leningrad, U.S.S.R:59 55,30 25,2 0
Lima, Peru:-12 06,-77 03,-5 0
London, England:51 30,0 10,0 0
Madras, India:13 05,80 18,5 30
Madrid, Spain:40 25,-3 43,0 0
Makkah, Saudi Arabia:21 26,39 49,3 0
Manchester, England:53 30,-2 15,0 0
Marrakech, Morocco:31 49,-8 00,0 0
Medinah, Saudi Arabia:24 30,39 35,3 0
Mexico City, Mexico:19 25,-99 10,-6 0
Montreal, Canada:45 30,-73 36,-5 0
Moscow, U.S.S.R.:55 45,37 42,3 0
Nairobi, Kenya:-1 17,36 50,3 0
Narvik, Norway:68 26,17 25,1 0
New Delhi, India:28 37,77 13,5 30
Paris, France:48 52,2 20,1 0
Peshawar, Pakistan:34 01,71 40,5 0
Pretoria, South Africa:-25 45,28 12,2 0
Qus, Egypt:25 53,32 48,2 0
Rabat, Morocco:34 02,-6 51,0 0
Rio de Janeiro, Brazil:-22 53,-43 17,-3 0
Rome, Italy:41 53,12 30,1 0
Samarkand, U.S.S.R:39 40,66 57,4 0
Santiago, Chile:-33 30,-70 40,-4 0
Scarborough, U.K.:54 17,0 24,0 0
Sierra Vista, Arizona:31 34,-110 21,-7 0
Singapore, Malaysia:1 18,103 50,7 0
Strasbourg, France:48 35,7 45,1 0
Surat, Gujrat India:21 10,72 54,5 30
Sydney, Australia:-33 55,151 10,10 0
Ta'if, Saudi Arabia:21 15,40 21,3 0
Tanzania:-6 28,35 22,2 0
Tehran, Iran:35 40,51 26,3 30
Tokyo, Japan:35 40,139 45,9 0
Toronto, Canada:43 42,-79 25,-5 0
Tunis, Tunisia:36 50,10 13,1 0
Vancouver, Canada:49 19,-123 05,-8 0
Wellington, New Zealand:-41 17,174 47,12 0
Zurich, Switzerland:47 23,8 33,1 0

.area User Defined


